QueryID	Original Query	Updated Query
763	give information human deaths associated hunting game	give information human deaths associated hunting game that other possible those there certain 
770	state kyrgyzstan united states relations	state kyrgyzstan united states relations nation democratic government country laws nations 
771	deformities found leopard frogs	deformities found leopard frogs frog snakes lizards amphibians turtles reptiles 
772	rules guidelines display united states flag	rules guidelines display united states flag rule state laws regulations policy should 
776	magnet schools considered successful districts created	magnet schools considered successful districts created school education universities teachers educational district 
782	varieties oranges season	varieties oranges season fruits fruit apples tomatoes peaches grapes 
792	social security means test	social security means test testing necessary critical that important whether 
794	pets animals therapy humans benefits	pets animals therapy humans benefits animal dogs cats pet human health 
795	reference notable cockers spaniels	reference notable cockers spaniels cocker retrievers spaniel Spaniels terriers poodles 
798	history development locations textile mills massachusetts	history development locations textile mills massachusetts industries industrial manufacturing mill industry factories 
801	describe origin nature extent spread means controlling kudzu	describe origin nature extent spread means controlling kudzu thus particular hence certain therefore that 
802	impact volcano eruptions global temperature	impact volcano eruptions global temperature volcanic eruption volcanoes climate warming earthquakes 
804	describe resolutions proposed legislation passed ban cloning humans rationale bans	describe resolutions proposed legislation passed ban cloning humans rationale bans laws banning proposing mandate proposal amendment 
806	doctors borders medecins sans frontieres	doctors borders medecins sans frontieres Frontieres fronti?res Medecins border M?decins Fronti?res 
808	information available involvement north korean government counterfeiting currency	information available involvement north korean government counterfeiting currency foreign financial authorities governments economic country 
810	information regarding timeshare resales	information regarding timeshare resales timeshares resale Timeshare property estate ownership 
811	state recognizing handwritten inputs computers	state recognizing handwritten inputs computers input computer recognize identifying indicating recognition 
812	conditions lead doctors recommend total knee replacement surgery complications result surgery	conditions lead doctors recommend total knee replacement surgery complications result surgery patients treatment patient possible likely risk 
816	describe efforts made usaid protect biodiversity galapagos islands ecuador	describe efforts made usaid protect biodiversity galapagos islands ecuador conservation endangered ecological wildlife ecosystems habitat 
817	naming rights sports stadiums acquired	naming rights sports stadiums acquired ownership stadium sporting sport football baseball 
818	known culture history chaco people features chaco culture national historic park	known culture history chaco people features chaco culture national historic park cultural heritage historical country where many 
820	imported fire ants controlled	imported fire ants controlled control insects fires bees controlling they 
821	describe work home scams promoted internet	describe work home scams promoted internet well how ways many way they 
822	give history battle big horn june 25 26 1876 referred custers stand	give history battle big horn june 25 26 1876 referred custers stand they that there even one but 
824	current role civil air patrol training participants receive	current role civil air patrol training participants receive personnel continuing involved force military necessary 
825	describe deployment national guard units iraq	describe deployment national guard units iraq military forces force deployed troops security 
826	relationship seminole indians florida	relationship seminole indians florida oklahoma carolina arizona alabama ohio jacksonville 
829	information kinds material international support provided side spanish civil war	information kinds material international support provided side spanish civil war other any well provide such particular 
830	locate past present model railroad layouts	locate past present model railroad layouts where different there particular way that 
831	describe security measures dulles international airport virginia	describe security measures dulles international airport virginia transportation airports national washington policy airline 
834	global positioning system gps research monitoring earthquakes	global positioning system gps research monitoring earthquakes systems tracking data technology mapping monitor 
835	bostons central artery project known big dig characterized pork	bostons central artery project known big dig characterized pork that especially particularly well one large 
836	level wages paid illegal immigrants	level wages paid illegal immigrants wage pay paying workers income taxes 
837	information pre 1500 history eskimo inuit people	information pre 1500 history eskimo inuit people american facts america americans peoples canada 
838	humans responded respond appearance coyotes urban suburban areas	humans responded respond appearance coyotes urban suburban areas they communities especially particularly concerned residents 
841	information camels north america prehistoric modern times	information camels north america prehistoric modern times ancient western history south northern west 
843	pol pot did	pol pot did pots maybe put never would probably 
846	describe evidence heredity play role obesity	describe evidence heredity play role obesity factors explain suggests influence importance fact 
847	role portugal world war ii	role portugal world war ii wars america united country europe conflict 
849	scalable vector graphics	scalable vector graphics graphic graphical vectors optimized bitmap raster 
850	frequently mississippi river flood banks	frequently mississippi river flood banks rivers flooding flooded bank creek lake 
